bill_id,bill_number,house-of-government,status_desc,date_proposed,title,description,last_action_date,last_action,primary_sponsor_firstname,primary_sponsor_lastname,primary_sponsor_middleinit,primary_sponsor_party,primary_sponsor_district,url,state_link
10001,HB1661,House of Representatives,Introduced,2024-01-08,"AN ACT to amend Tennessee Code Annotated, Title 10, Chapter 1 and Title 10, Chapter 3, relative to accessing or viewing obscene library materials by minors.","As introduced, enacts the ""Restricted Access by Minors to Obscene Library Materials Act."" - Amends TCA Title 10, Chapter 1 and Title 10, Chapter 3.",2024-03-25,Taken off notice for cal. in Government Operations Committee,John,Ragan,D,R,HD-033,https://legiscan.com/TN/bill/HB1661/2023,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB1661&ga=113
10002,HB2457,House of Representatives,Introduced,2024-01-30,"AN ACT to amend Tennessee Code Annotated, Title 49, relative to K-12 education.","As introduced, requires the removal of sexually explicit material from the libraries of public schools; creates a process for evaluating library materials for sexually explicit material in public schools. - Amends TCA Title 49.",2024-02-06,Assigned to s/c K-12 Subcommittee,Susan,Lynn,,R,HD-057,https://legiscan.com/TN/bill/HB2457/2023,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2457&ga=113
10003,HB2737,House of Representatives,Introduced,2024-01-31,"AN ACT to amend Tennessee Code Annotated, Title 47, Chapter 18, relative to library electronic book contracts.","As introduced, prohibits certain kinds of provisions in contracts and agreements between publishers and libraries related to the licensing of electronic literary materials. - Amends TCA Title 47, Chapter 18.",2024-02-07,Assigned to s/c Departments & Agencies Subcommittee,Caleb,Hemmer,,D,HD-059,https://legiscan.com/TN/bill/HB2737/2023,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2737&ga=113
